2020-06-07-12:35:29,background,46621,68645,277294,284888,0.4045,0.1406,0.2087

2020-06-07-12:35:29,lungs1,22309,166066,394208,94865,0.1184,0.1904,0.146

2020-06-07-12:35:29,lung2,14350,50455,502758,109885,0.2214,0.1155,0.1518

2020-06-07-12:35:29,heart,16741,74634,508229,77844,0.1832,0.177,0.18

2020-06-07-12:35:29,esophagus,211,63549,611226,2462,0.0033,0.0789,0.0064

2020-06-07-12:35:29,trachia,375,52271,620802,4000,0.0071,0.0857,0.0132

2020-06-07-12:35:29,spine,1162,100059,574492,1735,0.0115,0.4011,0.0223

2020-06-07-12:35:31,background,59857,45650,300289,271652,0.5673,0.1806,0.2739

2020-06-07-12:35:31,lungs1,41562,109446,450828,75612,0.2752,0.3547,0.31

2020-06-07-12:35:31,lung2,27739,65110,488103,96496,0.2988,0.2233,0.2556

2020-06-07-12:35:31,heart,70677,105347,477516,23908,0.4015,0.7472,0.5224

2020-06-07-12:35:31,esophagus,93,32304,642471,2580,0.0029,0.0348,0.0053

2020-06-07-12:35:31,trachia,357,35764,637309,4018,0.0099,0.0816,0.0176

2020-06-07-12:35:31,spine,1105,82437,592114,1792,0.0132,0.3814,0.0256

2020-06-07-12:35:33,background,90706,29259,316680,240803,0.7561,0.2736,0.4018

2020-06-07-12:35:33,lungs1,53379,100057,460217,63795,0.3479,0.4556,0.3945

2020-06-07-12:35:33,lung2,39849,75966,477247,84386,0.3441,0.3208,0.332

2020-06-07-12:35:33,heart,83953,128220,454643,10632,0.3957,0.8876,0.5474

2020-06-07-12:35:33,esophagus,33,15866,658909,2640,0.0021,0.0123,0.0036

2020-06-07-12:35:33,trachia,366,18994,654079,4009,0.0189,0.0837,0.0308

2020-06-07-12:35:33,spine,682,40118,634433,2215,0.0167,0.2354,0.0312

2020-06-07-12:35:35,background,116426,23698,322241,215083,0.8309,0.3512,0.4937

2020-06-07-12:35:35,lungs1,62829,112259,448015,54345,0.3588,0.5362,0.4299

2020-06-07-12:35:35,lung2,41614,73689,479524,82621,0.3609,0.335,0.3475

2020-06-07-12:35:35,heart,86078,128863,454000,8507,0.4005,0.9101,0.5562

2020-06-07-12:35:35,esophagus,19,8163,666612,2654,0.0023,0.0071,0.0035

2020-06-07-12:35:35,trachia,345,10060,663013,4030,0.0332,0.0789,0.0467

2020-06-07-12:35:35,spine,300,13105,661446,2597,0.0224,0.1036,0.0368

2020-06-07-12:35:37,background,126103,18696,327243,205406,0.8709,0.3804,0.5295

2020-06-07-12:35:37,lungs1,73406,130458,429816,43768,0.3601,0.6265,0.4573

2020-06-07-12:35:37,lung2,36839,62315,490898,87396,0.3715,0.2965,0.3298

2020-06-07-12:35:37,heart,87878,127520,455343,6707,0.408,0.9291,0.567

2020-06-07-12:35:37,esophagus,9,3497,671278,2664,0.0026,0.0034,0.0029

2020-06-07-12:35:37,trachia,314,5374,667699,4061,0.0552,0.0718,0.0624

2020-06-07-12:35:37,spine,117,4922,669629,2780,0.0232,0.0404,0.0295

2020-06-07-12:35:40,background,131908,14377,331562,199601,0.9017,0.3979,0.5522

2020-06-07-12:35:40,lungs1,75730,133891,426383,41444,0.3613,0.6463,0.4635

2020-06-07-12:35:40,lung2,39593,60238,492975,84642,0.3966,0.3187,0.3534

2020-06-07-12:35:40,heart,89588,125105,457758,4997,0.4173,0.9472,0.5793

2020-06-07-12:35:40,esophagus,2,1309,673466,2671,0.0015,0.0007,0.001

2020-06-07-12:35:40,trachia,252,3106,669967,4123,0.075,0.0576,0.0652

2020-06-07-12:35:40,spine,47,2302,672249,2850,0.02,0.0162,0.0179

2020-06-07-12:35:42,background,140210,11091,334848,191299,0.9267,0.4229,0.5808

2020-06-07-12:35:42,lungs1,63112,113278,446996,54062,0.3578,0.5386,0.43

2020-06-07-12:35:42,lung2,57885,77004,476209,66350,0.4291,0.4659,0.4468

2020-06-07-12:35:42,heart,91073,119609,463254,3512,0.4323,0.9629,0.5967

2020-06-07-12:35:42,esophagus,3,545,674230,2670,0.0055,0.0011,0.0019

2020-06-07-12:35:42,trachia,166,1938,671135,4209,0.0789,0.0379,0.0512

2020-06-07-12:35:42,spine,19,1515,673036,2878,0.0124,0.0066,0.0086

2020-06-07-12:35:44,background,156477,8729,337210,175032,0.9472,0.472,0.63

2020-06-07-12:35:44,lungs1,43838,83725,476549,73336,0.3437,0.3741,0.3582

2020-06-07-12:35:44,lung2,80660,99652,453561,43575,0.4473,0.6493,0.5297

2020-06-07-12:35:44,heart,92441,108834,474029,2144,0.4593,0.9773,0.6249

2020-06-07-12:35:44,esophagus,2,312,674463,2671,0.0064,0.0007,0.0013

2020-06-07-12:35:44,trachia,97,1288,671785,4278,0.07,0.0222,0.0337

2020-06-07-12:35:44,spine,8,1385,673166,2889,0.0057,0.0028,0.0037

2020-06-07-12:35:46,background,195260,7805,338134,136249,0.9616,0.589,0.7305

2020-06-07-12:35:46,lungs1,33376,62432,497842,83798,0.3484,0.2848,0.3134

