2020-06-07-12:50:52,background,25587,34177,311762,305922,0.4281,0.0772,0.1308

2020-06-07-12:50:52,lungs1,30931,93684,466590,86243,0.2482,0.264,0.2559

2020-06-07-12:50:52,lung2,13757,59326,493887,110478,0.1882,0.1107,0.1394

2020-06-07-12:50:52,heart,7905,68761,514102,86680,0.1031,0.0836,0.0923

2020-06-07-12:50:52,esophagus,705,131865,542910,1968,0.0053,0.2637,0.0104

2020-06-07-12:50:52,trachia,1418,132226,540847,2957,0.0106,0.3241,0.0205

2020-06-07-12:50:52,spine,197,76909,597642,2700,0.0026,0.068,0.0049

2020-06-07-12:50:54,background,57532,13296,332643,273977,0.8123,0.1735,0.286

2020-06-07-12:50:54,lungs1,69105,137618,422656,48069,0.3343,0.5898,0.4267

2020-06-07-12:50:54,lung2,21179,37874,515339,103056,0.3586,0.1705,0.2311

2020-06-07-12:50:54,heart,62355,98688,484175,32230,0.3872,0.6592,0.4879

2020-06-07-12:50:54,esophagus,124,69646,605129,2549,0.0018,0.0464,0.0034

2020-06-07-12:50:54,trachia,1400,79394,593679,2975,0.0173,0.32,0.0329

2020-06-07-12:50:54,spine,125,29112,645439,2772,0.0043,0.0431,0.0078

2020-06-07-12:50:56,background,118864,13011,332928,212645,0.9013,0.3586,0.513

2020-06-07-12:50:56,lungs1,50439,102917,457357,66735,0.3289,0.4305,0.3729

2020-06-07-12:50:56,lung2,61762,83720,469493,62473,0.4245,0.4971,0.458

2020-06-07-12:50:56,heart,85179,108676,474187,9406,0.4394,0.9006,0.5906

2020-06-07-12:50:56,esophagus,26,18878,655897,2647,0.0014,0.0097,0.0024

2020-06-07-12:50:56,trachia,1278,24979,648094,3097,0.0487,0.2921,0.0834

2020-06-07-12:50:56,spine,11,7708,666843,2886,0.0014,0.0038,0.0021

2020-06-07-12:50:58,background,159103,17997,327942,172406,0.8984,0.4799,0.6256

2020-06-07-12:50:58,lungs1,28526,63818,496456,88648,0.3089,0.2434,0.2723

2020-06-07-12:50:58,lung2,92031,126829,426384,32204,0.4205,0.7408,0.5365

2020-06-07-12:50:58,heart,83622,86447,496416,10963,0.4917,0.8841,0.6319

2020-06-07-12:50:58,esophagus,4,6955,667820,2669,0.0006,0.0015,0.0008

2020-06-07-12:50:58,trachia,874,8227,664846,3501,0.096,0.1998,0.1297

2020-06-07-12:50:58,spine,0,3015,671536,2897,nan,nan,nan

2020-06-07-12:51:00,background,211612,52833,293106,119897,0.8002,0.6383,0.7102

2020-06-07-12:51:00,lungs1,33574,79875,480399,83600,0.2959,0.2865,0.2912

2020-06-07-12:51:00,lung2,89724,115487,437726,34511,0.4372,0.7222,0.5447

2020-06-07-12:51:00,heart,50453,34611,548252,44132,0.5931,0.5334,0.5617

2020-06-07-12:51:00,esophagus,0,3783,670992,2673,nan,nan,nan

2020-06-07-12:51:00,trachia,397,3733,669340,3978,0.0961,0.0907,0.0934

2020-06-07-12:51:00,spine,0,1366,673185,2897,nan,nan,nan

